Project Number,Status,Operation Number,Reporting Currency,Product Code,Fund Code,Department Code,Division Code,Modality Code,Sector,Lending Type Code,TL PCM,Team Leader,Region,Country Code,Operation Status Sorting,Operation Status Code,External Operation,Effective Date,Ratification Date,Signature Date,Closed For Operation Date,First Eligibility Date,Final Amortization Date,Current Disbursement Expiration Date,Original Disbursement Expiration Date,Total Eligibility Date,First Disbursement Date,Totally Disbursement Date,Current Year Disb Projection,Next Year Disb Projection,Available Amount,Current Approved Amount,Disbursed Life Amount,Cancelled Amount,Undisbursed Amount,Committed Amount,Disbursed YTD,Original Approved Amount,Projected Available Amount,Title (English),Lending Instrument ID,Relation Number,Approval Date,Approval Year,Stage,Title (Spanish),PMR Classification,PMR Classification (Spanish),Executor Name,Executor Name (Spanish),Cumulative Extension (Months),Product (English),Product (Spanish),Fund (English),Fund (Spanish),Division (English),Division (Spanish),Modality (English),Modality (Spanish),Sector (English),Lending Type (English),Lending Type (Spanish),Country (English),Country (Spanish),Operation Status (English),Operation Status (Spanish),Sector (Spanish),Lending Instrument Code,Lending Instrument (English),Lending Instrument (Spanish),Department,UDR Code,UDR Full Name,UDR Full Name (Spanish)
CO-L1164,ACTIVE,4856/OC-CO,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-SUB,SG,ZOILAL,"LLEMPEN LOPEZ, ZOILA CRISTINA",CAN,CO,5,DI,Valid,10/25/2019 0:00,,10/25/2019 0:00,,3/18/2020 0:00,11/15/2033 0:00,10/25/2027 0:00,10/25/2024 0:00,3/18/2020 0:00,8/7/2020 0:00,,2080000,0,32400121.22,50000000,17599878.78,0,32400121.22,0,3005649.42,50000000,32400121.22,Program for the Adoption and Implementation of a Rural-Urban Multipurpose Cadastre,LON-INV,CO-L1164,9/11/2019 0:00,2019,DI,Programa para la Adopción e Implementación de un Catastro Multipropósito rural-urbano,Satisfactory,Satisfactorio,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,36,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-SUB - REFORM / MODERNIZATION OF THE STATE-SUBNATIONAL AND LOCAL GOVERNMENTS,SG - Sovereign Guaranteed,SG - SG,CO - Colombia,CO - Colombia,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-SUB - REFORMA/MODERNIZACIÓN DEL ESTADO-GOBIERNOS SUBNACIONALES Y LOCALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CCO,CAN/CCO - Country Office Colombia,CAN/CCO - Representación Colombia
CO-L1245,ACTIVE,5148/OC-CO,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-REA,SG,ZOILAL,"LLEMPEN LOPEZ, ZOILA CRISTINA",CAN,CO,5,DI,Valid,12/24/2020 0:00,,12/24/2020 0:00,,1/28/2021 13:27,11/15/2029 0:00,12/24/2028 0:00,12/24/2025 0:00,1/28/2021 13:27,3/31/2021 0:00,,14000000,75400000,171500000,250000000,78500000,0,171500000,0,0,250000000,168700000,Program to Support the Modernization of the National Tax and Customs Directorate,LON-INV,CO-L1245,11/6/2020 0:00,2020,DI,Programa de Apoyo a la Modernización de la Dirección de Impuestos y Aduanas Nacionales,Satisfactory,Satisfactorio,DIRECCIÓN DE IMPUESTOS Y ADUANAS DE COLOMBIA ,DIRECCIÓN DE IMPUESTOS Y ADUANAS DE COLOMBIA ,36,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-REA - REFORM / MODERNIZATION OF THE STATE-REVENUE ADMINISTRATION,SG - Sovereign Guaranteed,SG - SG,CO - Colombia,CO - Colombia,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-REA - REFORMA/MODERNIZACIÓN DEL ESTADO-ADMINISTRACIÓN DE INGRESOS,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CCO,CAN/CCO - Country Office Colombia,CAN/CCO - Representación Colombia
EC-L1230,ACTIVE,4670/OC-EC,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,TEODOROZ,"ZALTSMAN, TEODORO ARIEL",CAN,EC,5,DI,Valid,4/10/2019 0:00,,4/10/2019 0:00,,10/10/2019 0:00,11/15/2043 0:00,12/31/2025 0:00,4/10/2024 0:00,11/29/2019 0:00,11/27/2019 0:00,,0,0,916548.21,23279227.48,22362679.27,20474144.04,916548.21,0,0,50000000,916548.21,PROGRAM TO ENHANCE FISCAL CAPACITY FOR PUBLIC INVESTMENT,LON-INV,EC-L1230,11/14/2018 0:00,2018,DI,PROGRAMA DE LA MEJORA DE LA CAPACIDAD FISCAL PARA LA INVERSIÓN PÚBLICA,Alert,Alerta,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,20,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,EC - Ecuador,EC - Ecuador,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CEC,CAN/CEC - Country Office Ecuador,CAN/CEC - Representación Ecuador
EC-L1251,ACTIVE,4845/OC-EC,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-PUB,SG,TEODOROZ,"ZALTSMAN, TEODORO ARIEL",CAN,EC,6,FD,Valid,11/18/2019 0:00,,11/18/2019 0:00,,5/27/2020 0:00,9/15/2044 0:00,11/18/2025 0:00,11/18/2023 0:00,5/27/2020 0:00,4/30/2021 0:00,4/17/2026 0:00,0,0,0," 6,704,346.13 ",6704346.13," 26,180,874.66 ",0,0,0," 75,000,000.00 ",0,State-Owned Enterprise Reform Support Program,LON-INV,EC-L1251,8/28/2019 0:00,2019,FD,Programa de Apoyo a la Reforma de Empresas Públicas,Satisfactory,Satisfactorio,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,24,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-PUB - REFORM / MODERNIZATION OF THE STATE-REFORM AND PUBLIC SECTOR SUPPORT,SG - Sovereign Guaranteed,SG - SG,EC - Ecuador,EC - Ecuador,FD - FULLY DISBURSED--THE TOTAL DISBURSED AMOUNT IS EQUAL TO THE APPROVED AMOUNT AND,FD - TOTALMENTE DESEMBOLSADO: LA CANTIDAD TOTAL DESEMBOLSADA ES IGUAL A LA CANTIDAD APROBADA,RM-PUB - REFORMA/MODERNIZACIÓN DEL ESTADO-REFORMA Y APOYO AL SECTOR PUBLICO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CEC,CAN/CEC - Country Office Ecuador,CAN/CEC - Representación Ecuador
EC-L1253,ACTIVE,5598/OC-EC,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-REA,SG,TEODOROZ,"ZALTSMAN, TEODORO ARIEL",CAN,EC,5,DI,Valid,1/23/2023 0:00,,1/23/2023 0:00,,6/15/2023 14:18,1/15/2046 0:00,1/23/2028 0:00,1/23/2028 0:00,6/15/2023 14:18,10/30/2023 0:00,,4900230,6500000,39720830.66,49000000,9279169.34,0,39720830.66,0,74370.34,49000000,39720830.66,Program to Improve Tax and Customs Administration,LON-INV,EC-L1253,9/30/2022 0:00,2022,DI,Programa de Mejora de la Administración Tributaria y Aduanera,Alert,Alerta,SERVICIO DE RENTAS INTERNAS,SERVICIO DE RENTAS INTERNAS,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-REA - REFORM / MODERNIZATION OF THE STATE-REVENUE ADMINISTRATION,SG - Sovereign Guaranteed,SG - SG,EC - Ecuador,EC - Ecuador,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-REA - REFORMA/MODERNIZACIÓN DEL ESTADO-ADMINISTRACIÓN DE INGRESOS,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CEC,CAN/CEC - Country Office Ecuador,CAN/CEC - Representación Ecuador
EC-L1253,ACTIVE,5599/KI-EC,USD,LON,KIF,IFD,IFD/FMM,ESP,RM-REA,SG,TEODOROZ,"ZALTSMAN, TEODORO ARIEL",CAN,EC,5,DI,Valid,1/23/2023 0:00,,1/23/2023 0:00,,6/15/2023 14:17,1/15/2048 0:00,1/23/2028 0:00,1/23/2028 0:00,6/15/2023 14:17,10/30/2023 0:00,,4586450,700000,31338317.33,35000000,3661682.67,0,31338317.33,0,0,35000000,31338317.33,Program to Improve Tax and Customs Administration,LON-INV,EC-L1253,9/30/2022 0:00,2022,DI,Programa de Mejora de la Administración Tributaria y Aduanera,Alert,Alerta,SERVICIO NACIONAL DE ADUANA DEL ECUADOR,SERVICIO NACIONAL DE ADUANA DEL ECUADOR,0,LON - Loan Operation,LON - Operación de Préstamo,KIF - Korea Infrastructure Development Co-Fina,KIF - Korea Infrastructure Development Co-Fina,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-REA - REFORM / MODERNIZATION OF THE STATE-REVENUE ADMINISTRATION,SG - Sovereign Guaranteed,SG - SG,EC - Ecuador,EC - Ecuador,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-REA - REFORMA/MODERNIZACIÓN DEL ESTADO-ADMINISTRACIÓN DE INGRESOS,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CEC,CAN/CEC - Country Office Ecuador,CAN/CEC - Representación Ecuador
ME-L1309,ACTIVE,6106/OC-ME,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,ANDRESMU,"MUNOZ MIRANDA, ANDRES FELIPE",CID,ME,2,AF,Valid,,,,,,12/10/2045 0:00,,,,,,0,0,500000000,500000000,0,0,500000000,0,0,500000000,500000000,Program to Strengthen the Fiscal Performance of Subnational Governments,LON-INV,ME-L1309,12/10/2025 0:00,2025,APPS,Programa de Fortalecimiento del Desempeño Fiscal de los Gobiernos Subnacionales,Satisfactory,Satisfactorio,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,ME - Mexico,ME - México,AF - APPROVED BY THE BOARD AND FUNDED BY FINANCE,AF - APROBADO POR DIRECTORIO Y FINANCIADO POR FINANZAS,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CID/CME,CID/CME - Country Office Mexico,CID/CME - Representación México
PE-L1231,ACTIVE,4428/OC-PE,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,MARTINA,"ARDANAZ, MARTIN JORGE",CAN,PE,5,DI,Valid,5/21/2018 0:00,,5/21/2018 0:00,,3/18/2019 0:00,10/15/2030 0:00,12/31/2026 0:00,5/21/2024 0:00,3/18/2019 0:00,6/3/2019 0:00,,2539640,0,3566769.87,44801097,41234327.13,20198903,3566769.87,0,468000,65000000,3566769.87,Project to Boost Efficiency in Public Investment Management and Public Procurement,LON-INV,PE-L1231,12/6/2017 0:00,2017,DI,Proyecto para la Mejora de la Eficiencia en la Gestión de la Inversión y las Contrataciones Públicas,Satisfactory,Satisfactorio,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,31,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,PE - Peru,PE - Perú,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CPE,CAN/CPE - Country Office Peru,CAN/CPE - Representación Perú
PE-L1239,ACTIVE,4725/OC-PE,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,MARTINA,"ARDANAZ, MARTIN JORGE",CAN,PE,5,DI,Valid,2/15/2019 0:00,,2/15/2019 0:00,,9/10/2019 0:00,9/15/2027 0:00,12/31/2026 0:00,2/15/2024 0:00,9/10/2019 0:00,9/17/2020 0:00,,6000000,0,12559527,50000000,37440473,0,12559527,0,0,50000000,12559527,Improving Tax and Customs Revenue Collection Services Through Digital Transformation,LON-INV,PE-L1239,12/14/2018 0:00,2018,DI,Mejoramiento de los Servicios de Recaudación Tributaria y Aduanera a través de la Transformación Digital,Satisfactory,Satisfactorio,SUPERINTENDENCIA NACIONAL ADMINISTRACIONTRIBUTARIA ,SUPERINTENDENCIA NACIONAL ADMINISTRACIONTRIBUTARIA ,34,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,PE - Peru,PE - Perú,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CPE,CAN/CPE - Country Office Peru,CAN/CPE - Representación Perú
PE-L1266,ACTIVE,5301/OC-PE,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIN,SG,MARTINA,"ARDANAZ, MARTIN JORGE",CAN,PE,5,DI,Valid,7/26/2021 0:00,,7/26/2021 0:00,,1/22/2022 13:56,7/15/2038 0:00,7/26/2027 0:00,7/26/2027 0:00,1/22/2022 13:56,9/28/2022 0:00,,6500000,15000000,60305353,74000000,13694647,0,60305353,0,1500000,74000000,60305353,Project to Improve the Financial Administration of the Public Sector through Digital Transformation.,LON-INV,PE-L1266,7/14/2021 0:00,2021,DI,Proyecto de Mejoramiento de la Administración Financiera del Sector Público a través de la Transformación Digital.,Satisfactory,Satisfactorio,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIN - REFORM / MODERNIZATION OF THE STATE-PUBLIC EXPENDITURE MANAGEMENT,SG - Sovereign Guaranteed,SG - SG,PE - Peru,PE - Perú,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIN - REFORMA/MODERNIZACIÓN DEL ESTADO-GESTIÓN DEL GASTO PÚBLICO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CPE,CAN/CPE - Country Office Peru,CAN/CPE - Representación Perú
PE-L1278,ACTIVE,5869/OC-PE,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-DES,SG,MARTINA,"ARDANAZ, MARTIN JORGE",CAN,PE,4,EL,Valid,12/12/2025 0:00,,12/12/2025 0:00,,3/26/2026 16:50,8/15/2040 0:00,12/12/2031 0:00,12/12/2031 0:00,3/26/2026 16:50,,,700000,6860000,35000000,35000000,0,0,35000000,0,0,35000000,35000000,Improvement of Subnational Public Finance Management for Fiscal Sustainability,LON-INV,PE-L1278,4/10/2024 0:00,2024,DI,Mejoramiento de la Gestión de las Finanzas Públicas Subnacionales para la Sostenibilidad Fiscal,Satisfactory,Satisfactorio,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-DES - REFORM / MODERNIZATION OF THE STATE-DECENTRALIZATION & INTERGOVERNMENTAL RELATIONS,SG - Sovereign Guaranteed,SG - SG,PE - Peru,PE - Perú,EL - ELIGIBLE FOR DISBURSEMENT--AT LEAST ONE COI IS ELIGIBLE.,EL - ELEGIBLE PARA EL DESEMBOLSO: AL MENOS UNA COI ES ELEGIBLE.,RM-DES - REFORMA/MODERNIZACIÓN DEL ESTADO-DESCENTRALIZACIÓN Y RELACIONES INTERGUBERNAMENTALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CAN/CPE,CAN/CPE - Country Office Peru,CAN/CPE - Representación Perú
PE-L1288,ACTIVE,5893/OC-PE,USD,LON,ORC,IFD,IFD/FMM,DDP,RM-FIS,SG,MARTINA,"ARDANAZ, MARTIN JORGE",CAN,PE,3,EF,Valid,8/27/2024 0:00,,8/27/2024 0:00,,,8/15/2044 0:00,8/27/2027 0:00,8/27/2027 0:00,,,,0,0,600000000,600000000,0,0,600000000,0,0,600000000,600000000,Program to Support Fiscal and Economic Recovery in Peru II,LON-PBL,PE-L1288,6/26/2024 0:00,2024,EFPE,Programa de Apoyo a la Recuperación Fiscal y Económica de Perú II,,,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,DDP - DDP (Deferred Drawdown Option PBP),DDP - DDP (Deferred Drawdown Option PBP),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,PE - Peru,PE - Perú,EF - EFFECTIVE--EITHER THE CONTRACT IS SIGNED AND NO RATIFICATION IS REQUIRED OR THE,EF - EFECTIVO:SE HA FIRMADO EL CONTRATO Y NO SE REQUIERE RATIFICACIÓN O YA ESTA RATIFICADO,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,PBL,PBL - Policy-Based Loan,PBL - Préstamo de Apoyo a Reformas de Política,IFD - Institutions for Development,CAN/CPE,CAN/CPE - Country Office Peru,CAN/CPE - Representación Perú
PN-L1161,ACTIVE,5126/OC-PN,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,UBALDOG,"GONZALEZ DE FRUTOS, UBALDO JESUS",CID,PN,5,DI,Valid,12/12/2020 0:00,12/12/2020 0:00,11/25/2020 0:00,,6/15/2021 10:53,10/15/2035 0:00,12/12/2027 0:00,12/12/2025 0:00,6/15/2021 10:53,7/28/2022 0:00,,5000000,0,29000000,40000000,11000000,0,29000000,0,0,40000000,29000000,Program to Support the Digital Transformation of the Tax Administration in Panama.,LON-INV,PN-L1161,9/30/2020 0:00,2020,DI,Programa de Apoyo a la Transformacion Digital de la Administración Tributaria en Panamá,Alert,Alerta,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,24,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,PN - Panama,PN - Panamá,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CID/CPN,CID/CPN - Country Office Panama,CID/CPN - Representación Panamá
PN-L1172,ACTIVE,5533/OC-PN,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,UBALDOG,"GONZALEZ DE FRUTOS, UBALDO JESUS",CID,PN,5,DI,Valid,8/19/2022 0:00,8/19/2022 0:00,7/11/2022 0:00,,1/20/2023 16:47,6/15/2037 0:00,8/19/2026 0:00,8/19/2026 0:00,1/20/2023 16:47,3/14/2024 0:00,,1335000,0,17975705.78,20000000,2024294.22,0,17975705.78,0,0,20000000,17975705.78,Fiscal Intelligence Program to Improve Spending Quality in Panama,LON-INV,PN-L1172,5/18/2022 0:00,2022,DI,Programa de Inteligencia Fiscal para Aumentar la Calidad del Gasto en Panamá,Problem,Problema,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,PN - Panama,PN - Panamá,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CID/CPN,CID/CPN - Country Office Panama,CID/CPN - Representación Panamá
PR-L1150,ACTIVE,4671/OC-PR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,OLORAROCHA,"LORA ROCHA, OSCAR",CSC,PR,5,DI,Valid,1/19/2021 0:00,1/19/2021 0:00,4/5/2019 0:00,,4/26/2021 19:56,3/15/2042 0:00,1/19/2028 0:00,1/19/2027 0:00,4/26/2021 19:56,8/17/2021 0:00,,3300000,6447000,9746666.41,25000000,15253333.59,0,9746666.41,0,0,25000000,9746666.41,Investments in Public Finances for Sustainable Development,LON-INV,PR-L1150,11/14/2018 0:00,2018,DI,Inversiones en Finanzas Públicas para el Desarrollo Sostenible,Satisfactory,Satisfactorio,MINISTERIO DE ECONOMIA Y FINANZAS,MINISTERIO DE ECONOMIA Y FINANZAS,12,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,PR - Paraguay,PR - Paraguay,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CPR,CSC/CPR - Country Office Paraguay,CSC/CPR - Representación Paraguay
