Year,Month,Projection Cycle,Project Number,Project (English),Project (Spanish),Operation Number,Region,IDB Country,Country,Country (English),Country (Spanish),Department,Responsible Unit,Responsible Unit Name,Project Type,Project Type (English),Project Type (Spanish),Fund,Fund (English),Fund (Spanish),Lending Type,Lending Type (English),Lending Type (Spanish),Lending Instrument,Lending Instrument (English),Lending Instrument (Spanish),Modality,Modality (English),Modality (Spanish),Project Phase,Project Phase (English),Project Phase (Spanish),Project Stage,Project Stage (English),Project Stage (Spanish),Parent Operation Number,Project Category,Attribute Filter Value,Approval Year,Transaction Year,Transaction Month,Transaction Date,Recent Disbursement Request Value Date,IS Parent Child Operation,IS SubLoan Exist,IS FIN Processing,IS Agreed Projection,IS Projection,Projection Amount (USEQ),Baseline Projection Amount (USEQ),Disbursed Amount (USEQ),Available Amount (USEQ),Available Amount (Apprvd),Minimum Pending Justification Amount,DW Update Timestamp,udr_cd
2026,6,202606,AR-L1416,Federal Tax Administration Reform Program,Programa de Reforma de la Administración Tributaria Federal,6139/OC-AR,CSC,AR,AR,Argentina,Argentina,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,APPS,Approved/Pending Signature,Aprobado/Pendiente de Firma,,A,,2026,2026,4,4/30/2026 0:00,,Parent Operation,N,Y,N,Y,0,0,0,100000000,100000000,,6/16/2026,CSC/CAR
2026,6,202606,AR-L1416,Federal Tax Administration Reform Program,Programa de Reforma de la Administración Tributaria Federal,6139/OC-AR,CSC,AR,AR,Argentina,Argentina,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,APPS,Approved/Pending Signature,Aprobado/Pendiente de Firma,,A,,2026,2027,2,2/28/2027 0:00,,Parent Operation,N,Y,N,Y,0,0,0,100000000,100000000,,6/16/2026,CSC/CAR
2026,6,202606,AR-L1416,Federal Tax Administration Reform Program,Programa de Reforma de la Administración Tributaria Federal,6139/OC-AR,CSC,AR,AR,Argentina,Argentina,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,APPS,Approved/Pending Signature,Aprobado/Pendiente de Firma,,A,,2026,2029,10,10/31/2029 0:00,,Parent Operation,N,Y,N,Y,0,0,0,100000000,100000000,,6/16/2026,CSC/CAR
2026,6,202606,BL-L1031,Strengthening of Tax Administration,Fortalecimiento de la Administración Tributaria,4839/OC-BL,CID,BL,BZ,Belize,Belice,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2019,2019,6,6/30/2019 0:00,6/9/2025 0:00,Parent Operation,N,Y,N,Y,0,0,0,737666,737666,961745.15,6/16/2026,CID/CBL
2026,6,202606,BR-L1535,Fiscal Management Modernization Project for the State of Paraíba - PROFISCO II PB,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraíba - PROFISCO II PB,5188/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2020,2023,5,5/31/2023 0:00,4/29/2026 0:00,Parent Operation,N,Y,N,Y,0,0,0,8644927.57,8644927.57,6583665.58,6/16/2026,CSC/CBR
2026,6,202606,BR-L1535,Fiscal Management Modernization Project for the State of Paraíba - PROFISCO II PB,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraíba - PROFISCO II PB,5188/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2020,2023,8,8/31/2023 0:00,4/29/2026 0:00,Parent Operation,N,Y,N,Y,0,0,0,8644927.57,8644927.57,6583665.58,6/16/2026,CSC/CBR
2026,6,202606,BR-L1535,Fiscal Management Modernization Project for the State of Paraíba - PROFISCO II PB,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraíba - PROFISCO II PB,5188/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2020,2024,7,7/31/2024 0:00,4/29/2026 0:00,Parent Operation,N,Y,N,Y,0,0,0,8644927.57,8644927.57,6583665.58,6/16/2026,CSC/CBR
2026,6,202606,BR-L1535,Fiscal Management Modernization Project for the State of Paraíba - PROFISCO II PB,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraíba - PROFISCO II PB,5188/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2020,2026,4,4/30/2026 0:00,4/29/2026 0:00,Parent Operation,N,Y,N,Y,8000000,0,0,8644927.57,8644927.57,6583665.58,6/16/2026,CSC/CBR
2026,6,202606,BR-L1535,Fiscal Management Modernization Project for the State of Paraíba - PROFISCO II PB,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraíba - PROFISCO II PB,5188/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2020,2026,8,8/31/2026 0:00,4/29/2026 0:00,Parent Operation,N,Y,N,Y,0,0,0,8644927.57,8644927.57,6583665.58,6/16/2026,CSC/CBR
2026,6,202606,BR-L1535,Fiscal Management Modernization Project for the State of Paraíba - PROFISCO II PB,Proyecto de Modernización de la Gestión Fiscal del Estado de Paraíba - PROFISCO II PB,5188/OC-BR,CSC,BR,BR,Brazil,Brasil,IFD,IFD/FMM,Fiscal Management Division,LON,Loan Operation,Operación de Préstamo,ORC,Ordinary Capital,,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),,A,,2020,2026,11,11/30/2026 0:00,4/29/2026 0:00,Parent Operation,N,Y,N,Y,0,0,0,8644927.57,8644927.57,6583665.58,6/16/2026,CSC/CBR
